transaction_id,account_id,transaction_type,amount,transaction_date,is_fraud
1,370,Withdrawal,21.69,2025-11-26 22:31:59,0
2,407,Deposit,23.39,2026-06-22 10:54:59,0
3,609,Bill Payment,562.53,2025-10-08 02:16:59,0
4,353,Withdrawal,54.26,2025-11-19 10:32:59,0
5,292,Deposit,98.66,2026-01-22 11:49:59,0
6,220,Withdrawal,65.26,2026-06-05 18:22:59,0
7,668,Bill Payment,110.62,2026-03-28 11:34:59,0
8,699,Deposit,18.99,2026-03-08 15:20:59,0
9,9,Withdrawal,184.0,2025-11-16 06:30:59,0
10,659,Transfer,18.5,2026-02-10 23:33:59,0
11,259,Withdrawal,403.81,2026-03-04 20:22:59,0
12,639,Bill Payment,67.55,2026-05-04 13:39:59,0
13,679,Transfer,195.14,2026-04-23 07:17:59,0
14,306,Deposit,531.23,2026-03-12 13:00:59,0
15,656,Transfer,264.08,2025-11-27 19:20:59,0
16,668,Transfer,191.33,2025-10-13 15:12:59,0
17,59,POS Purchase,99.01,2026-02-01 07:59:59,0
18,27,Bill Payment,102.24,2025-12-07 19:37:59,0
19,398,Deposit,277.78,2026-05-04 09:15:59,0
20,352,Withdrawal,1285.87,2026-06-26 04:19:59,0
21,688,Transfer,272.06,2026-03-25 20:33:59,0
22,674,POS Purchase,204.99,2025-10-09 19:45:59,0
23,265,POS Purchase,328.94,2025-10-11 08:36:59,0
24,92,Withdrawal,157.47,2026-01-06 18:26:59,0
25,431,Transfer,16.509999999999998,2026-01-15 19:16:59,0
26,121,Bill Payment,207.55,2025-08-06 07:16:59,0
27,636,Deposit,791.3,2026-03-07 17:11:59,0
28,698,Bill Payment,49.18,2026-04-06 20:05:59,0
29,155,Withdrawal,293.8,2025-10-19 21:05:59,0
30,469,Withdrawal,57.08,2025-12-18 08:50:59,0
31,500,Transfer,192.87,2026-05-28 15:59:59,0
32,5,Bill Payment,26.42,2025-11-26 17:27:59,0
33,591,Withdrawal,150.63,2026-03-16 12:47:59,0
34,649,Bill Payment,353.81,2026-02-01 00:09:59,0
35,39,POS Purchase,107.76,2025-10-20 10:02:59,0
36,330,POS Purchase,274.34,2025-10-14 11:22:59,0
37,255,Withdrawal,397.74,2026-06-29 21:58:59,0
38,393,POS Purchase,655.93,2026-05-06 19:49:59,0
39,47,Transfer,67.85,2025-12-05 01:25:59,0
40,537,Transfer,128.42000000000002,2026-02-17 07:47:59,0
41,502,Transfer,42.34,2025-10-13 16:37:59,0
42,414,Deposit,1223.66,2025-11-02 18:25:59,0
43,217,Deposit,655.33,2026-05-07 02:49:59,0
44,667,Deposit,195.11,2026-01-18 06:55:59,0
45,639,Deposit,462.34,2026-05-09 12:21:59,0
46,21,Deposit,184.99,2026-06-27 14:05:59,0
47,127,POS Purchase,245.27,2025-11-16 02:23:59,0
48,646,Deposit,24.34,2025-12-11 00:21:59,0
49,533,Transfer,352.9,2026-05-24 06:23:59,0
50,108,POS Purchase,35.16,2026-05-21 13:57:59,0
51,109,Bill Payment,438.27,2025-10-19 05:51:59,0
52,536,Withdrawal,381.85,2026-01-09 09:05:59,0
53,41,POS Purchase,309.39,2026-03-20 17:23:59,0
54,339,Withdrawal,10.21,2025-07-10 11:21:59,0
55,114,POS Purchase,91.29,2026-06-17 01:48:59,0
56,524,Deposit,77.33,2025-08-29 19:20:59,0
57,304,Transfer,112.63,2026-03-03 11:45:59,0
58,41,Transfer,23.93,2026-01-10 07:59:59,0
59,119,Deposit,691.99,2025-08-01 11:33:59,0
60,663,Withdrawal,202.75,2025-12-24 22:36:59,0
61,637,Transfer,92.15,2025-08-25 22:31:59,0
62,117,Bill Payment,127.45,2026-01-30 00:56:59,0
63,490,Bill Payment,149.19,2026-06-06 15:46:59,0
64,61,Withdrawal,230.44,2025-09-01 00:37:59,0
65,583,Bill Payment,182.25,2025-10-10 06:03:59,0
66,627,Deposit,630.54,2026-06-25 10:36:59,0
67,500,Deposit,172.77,2026-02-05 00:41:59,0
68,671,Transfer,1213.07,2025-07-16 09:34:59,0
69,591,POS Purchase,477.67,2025-11-01 08:34:59,0
